Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,155250,United States,,56545,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,11807228720,United States,,53110,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,12060479680,United States,,36824,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,388654,United States,,76618,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,538200,United States,,108559,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,4372040529,Bermuda,2004,489646,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,13900871367,United States,2015,1113237,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,3609573,Canada,2021,1273685,Industrials,Metal Fabrications
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,205423,Canada,2021,1267,Industrials,Metal Fabrications
AGRO,Adecoagro S.A. Common Shares,1166301330,Luxembourg,2011,435988,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,347903211,United States,2018,158321,Consumer Discretionary,Miscellaneous manufacturing industries
AGTI,Agiliti Inc. Common Stock,1361948580,United States,2021,6895389,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,787257595,United States,,247214,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),2265117869,United States,,149399,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,1313122178,United States,2018,763833,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,86846434,China,2017,22544,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,679287332,United States,2013,479209,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,United States,,14532,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,,Bermuda,,26686,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,Bermuda,,18957,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,,Bermuda,,37163,,
AHR,American Healthcare REIT Inc. Common Stock,0,,2024,642443,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,52305279,United States,2003,267200,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,United States,,3301,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,United States,,4956,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,United States,,6098,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,United States,,1243,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,United States,,1917,,
AI,C3.ai Inc. Class A Common Stock,2543496804,United States,2020,7078654,Technology,Computer Software: Prepackaged Software
AIB,AIB Acquisition Corporation Class A Ordinary Shares,0,United States,2022,102,Finance,Blank Checks
AIBBR,AIB Acquisition Corporation Right,0,United States,2022,104,Finance,Blank Checks
AIF,Apollo Tactical Income Fund Inc. Common Stock,0,,2013,266326,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,49743664279,United States,,3584504,Finance,Life Insurance
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,12385692,China,2019,42483,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,7306155,China,2018,3178,Finance,Finance: Consumer Services
AIM,AIM ImmunoTech Inc. Common Stock,24192091,United States,1997,213231,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMBU,Aimfinity Investment Corp. I Subunit,0,United States,2022,127714,Finance,Blank Checks
